address,quantity
addr1q99pfhkj7f4tg5dwjkat5w8e4vqmxwfkjn2grwdwcefm8gwjj9djsz0020h68nz3rxknzdh93nryqzhq6h9z0nnzf0rsspw79l,20.511848
addr1qxuh5z6xcjknq8s63e4emddt4q3zyfskqcdwrfmmvdq7cqs3yjpwhz7m0vxeu96js2l9enfxdkqte65j2xrjfpy6s0qsf7ll7s,1.98
addr1qxgf247tg7ulfa9hmk8hmsycjcu4faupdgkmxru3kemh0w5l5630aqz3tx9a7hpzxsasj3pc3df3pug32nfsfntu42ns5hwvx9,1.0
addr1qx2t0k65vlxr7s7z2e7k2gnutlasl0xrugc7wmeglfhqq88pgsucxhnmfc8q4ez30aquzttvayxyg2gw0t6raersra6swuzmxm,1.098849
addr1q8cq0qm6a8xwsge4steragd63rdt5rdeq0gqhq5szlgy0m5h7nzphjny84mjdtu4s8rvf3sh8ws7f5u5evvv320z3c3q76tum3,0.334051
addr1qx048mdrnnh5kf8sqgfn7ecywmqr33clvh4f2nt5wgawkpp9z82cp4e7jxl7ydat58gpsfz3s20ptrpj9dxz5qvrjtzsr6g3e0,1340.555041
addr1qywz0gff6wx3u52rzdhuwmrgarv57h2m4tmuljya8s25klehj72fc8w24gemjk9skf3rh2ckfjndxuk655nfks34kmpqg7ht0s,3.3049
addr1q8h0nqla6ezmn9c9pjd5t02ugy2exvvc6lnhdpwh52e0au9ty9hhzxawg5vrhaxjy95clqustym2kfjr7fzf9atfwg5qk69uu3,0.008222
addr1q9zavm2tgjyarvjvsr9crmhfw2erwl0s65yefyge59fdfz2htujdmark2ghuvmwm8tksj2nkpyuhlug5nq7jxua5hhysgnze4s,41.096067
addr1q8kfa524dhlj82azu7k3k4ajkk5kjxztj33u2smsnjmkhpczy2nexea26tfxe0n6cczlfe34l00lduc6ty2erurpxx3qrt6vkn,200.0
addr1qy0pwp80ayfdflxztw3tgzd0wnegvwg2q4hhfwsum7sd684k84u0kt4a5v346lk6cpjklk3dhq7w2tjm9u6njlwcv7csskcjme,1.775977
addr1q9gzntr9pyvssrpjnfjucqyumln4j2d2n0vghg8egtnd8da9f9a9g3r2qd8nnnvpv9el4njft50rffg5unkvmj52q6wqj874pw,7.3e-05
addr1x8nz307k3sr60gu0e47cmajssy4fmld7u493a4xztjrll0aj764lvrxdayh2ux30fl0ktuh27csgmpevdu89jlxppvrswgxsta,3559.649124
addr1qyykemycaywp9nlr4x3kexsemgrglt37h7grnkryvk56uwlf7ev4ql7sj6y7r6u5q2f2nypvu3p9cez9trxtqx5gj2xq9mquwl,100.0
addr1q97xnj6xuhs4jr5k35jvzc36a9lptruu2tv22y28x4xz4fxmt9w98fx2ersqvvml6g929r75p07g4w5k5wajnpcv5pds8tdlz4,7.773012
addr1qycxhq3qgac33n72x0759mtus7p6qx8sreqjwwl3er35acf3aykuhsmhpvzc2e8xvpz9l5q2jwxulr8rqp70vaz8f8fqsc0fyz,0.001883
addr1q80kew5ppxdyxte2v3evftuy330fcfhmgfs54z20k5jz0l44dnfjn0wp5pl4ggxf3xp09yv8z56thj3mj4u3hwzkln0s0x2kay,0.000293
addr1q97zslvqhzgx3clsukkeeh8ue4n7ye8pp3a6c8cu2z6tfnsgyzqm652hf3695snnt8w9nlqlqjkcahhdmdfxjesdl9yqtj7ck5,5.065349
addr1q9krfqcj5psga3sr934436zhp48t2jn8jt54rpdkv8kdr8n7zxqpsqtwghxxanz6vmj824hjv628calsg06npe4pz9hq8jmam7,23.806268
addr1q87ehktnf9gztd2yzz9nnslggdlcjq7ecy804zj5n7mke8dczylknct0zl60m36rn9gypwkahjvcsqgu4m6h9qr0n4vsungku8,0.365692
addr1q8p7kwegx2sdle3kuv5f3v5wm8ghszrwmwljn29z7hz9clyggmtdyffuassx9fkay7gq7m6dhhe5z7wmj352j3dr9jasxdpejs,0.44205
addr1q8emql9qpdx2xze74tuhgfjnkt660aeptaplzw57f7rd4enuxevgealc5y3kqxe9k7kjjgz54s59km3xwu6s5v85wwtsgqljs3,7.309285
addr1qy530akeqjqyylwpg8e2n98srgrh3m24nn7f6r6eqc56u9ah6g6j5252vesal9jh70a7jw578jnhl8qrajv7ausztagqln2sxc,0.557469
addr1q8mz4qysu2ugn59gsc3fcap4fweqt9mjm4tnram4hehcrtct5vhz8lr2upkuwj7qtnqw75ezhjf9v58dyr9fz32yme3skk355y,0.000316
addr1q99l9cclx07gyfe8866ypsj49ahzgcu454mce37zwyz8nvz5qypd9c3zfnwr4p4f2zmvqu9lg9thuer4smu0ssrsu3mq0azdh9,1.129195
addr1q83csqj0wz33hxzpekjpezhy8pnme6d6up7nfrez9mwxpqgtjl98sgeadz9u4tvze66dqgweeezr6kan4k46sk7nmlts049qg3,125.375654
addr1q86pzxa6u3j8tm30unwuex6w26mtmcd3y3jv7rlarkspm0j92y0xhafet2r8j2het4rdrcde5k0uzwszd2nqa0j2hneq078dtl,0.079137
addr1q9heekvhrn0gz5sv49kc3cp76zmwc4pfgdh0y4jsnkgrrszzdt30hnm0u8xznplaemy50kttehx75lw3wz3e9chuzd4qyd2dea,0.803681
addr1q8ytwyul856z7748r0lmkaaafr84c68ccpg6ef3kquwvdswytamku72udagfrpglsyy5wmfnqsu2vc9mtg9hv0jnqewq3h74hk,0.001533
addr1qxll9p596gq67k4z7a6rc44585xges5ue5lhpe5nwmzgqvnq2tg9xkagj9ryk5skjfztfz9kf7rskw5y742qt74u0x0sj938ny,1.237147
addr1qx734vd89pu0u626r430283z47epyu7hzsz7frv4akuxfjrkucejg4glmluzrw6xs8urg5zuv2kh7fsrvhrkln88u8dqf8f759,0.484776
addr1q83f30ptzc3p6j3rdk9mca2swfqdha5e7zrjl2gpfa9k6d7aew6a57y4ez5pkg04fhedp5q2keluujck6h8kypwdwfpsqajymj,0.001046
addr1q9lmsfandc9g43smnfssxxnchsvp23rrk8a09wrqtk9twc73rll4h9x7ez522323hckmjgashypg5lzkqa8da5z0z2gqkhcflg,18.689498
addr1qxy2atdsjrplpdz43kz86f3zx0fwxnr0kcxaqtmm3azgfh3p9kyawxfjp98zv5q4n7h6a7uqgefavjkw06m873h95xqqw36ry7,92.660187
addr1qxqn5n55djx2f9jsrhn45xka35u7d77795xv28w8m0nt7l2nhp5dzk7hu3yedacv6zpxfrzv6m3u28wwxp8u8ux9qtzq86c8qn,0.407446
addr1qxwqqhp63nucujaqy9dzpd8433yuyvhm3deyke5mt28rgu6hzvrac035lz5qknw4n42p6re0uqfwgvz7nq9s22rstzjqkzngza,3.0
addr1q8rx466fkjmjrz46tpnrftktlgelp4cp8cmdcuyykrvq3p3jjd6n2w2eax5fs02dgph303q5dfu4nmqsv5fgvy0rnn3s2ltfpy,375.0
addr1qxj3zwgchhkmtzql7dld83x529ql3n9pv9tnkh3tu5r37a0x6zeram7dhx4r5tudf6cge7ptaq6slme2vmc7ne7z083sd62n70,32.19351
addr1qxe6tvwgc34npq24dky20a75a5dtaas9pvl55vh70azalpea40cv3en8dqtzatlf22hrz7pw8cyuu64ureyuw636s43sj4nshe,0.21759
addr1qxuxhvesj9yr4ak3s5zqs9et9aj2z8zj04mnl68pua53geqlaax0spmsynv0pzwq9779j9vfvgwv46ljtrc0kj55kx3sueuzsw,1.000477
addr1q9f46xt7cjsfsu2ckwkg4j93dn5770rq4vcadp4jed777c6503utq0yhtr2flqqq3v8c6ap8rs0vv6nay2nv04jas77q3kfy20,152.408506
addr1qxees7vt7w5at8lsz7eufyxnmh679djsmmv7ydutztw7ymqakkuk8tzpu7gn6fkcf5q06lhpdw3qkmswhff8yj33hmfs88s3ry,22.658358
addr1qy2gr8lw8lfxlzm8nu5uy3hamy9fpgdwuzs94g90ltfpk4zm3sup6jtxaav2w9j6juzk2j7juywzwxdmehfzucc7etxs9eaxds,14.791263
addr1qxs0de86ue4hhep3d324fzv48uc57lsrq8ux7z3tnj2q9rk4vx7c3m6zcla38w82409msfy40f5p9j4jpdzzug9xsn2qusd8dz,0.029106
addr1qxvjrn3wjcprwp0mssyvt0vh7q7tpcggcses7hpzd6frfyzk9w8af6y385plnvz4z9845ete9lxqzn392ac8yxef4p4s62c8m6,0.070849
addr1qymf3lrpflvg2g5y5ug546ymzsrqxxn7gtezpc4maxln6e7qy6zskae50zz94zexvurnjhvp7aylgk5qsfc85leycl2skr5uan,4.238318
addr1qy4nepe46nwwn2jhdyelcakujq47mfhrad5c04x2kq4wju4j0dygu7h6hy2ukjsmsfa2yfmqajjz5jpzg33r4kcll66s8gusts,1.01
addr1qy8cnua8mn6uqkcle64cvgc7uefvym8cn6945htcf0ulu5t6tln559xz0jr7whhunfrjrrnyde8emjmnglv7d3yyhzdq22cjh8,1599.697347
addr1qykn80eq50zcrvfc6qs4d4dxjle0jgq3l924r0ar6gydg9djgkkuwacqgvhc8reeyyfnlwq7skaful4hm4jec0urdffs82x5kl,1.0
addr1qx4ws4ncy5f2gmxp6ucwklv6tc6flwr834angry66pwfzvq4mjjs9twsjpg8qkqpxt8jpuds4ynv8fw9vu5fg3knj4tqm9gjvf,56.24
addr1qyd36ca032fky0e40e9hv8278pdq3vx2stx3al38av7qzqkdm7eqqh3zm9w80vjsz3p4jwv4y2pq6cuva0f45wa4auasc4p9v7,63.173822
addr1q9hsauvnf9dt88skshp76t45hp27c9p6y9rv6au74s43uqjx7gax6jgkwyn7vhvqet6n05quma2y5wdghj5arlzmmjpq2xyg4t,1.224219
addr1qytjuch5s7yftgck33s7en200mlancenswjt3yp3ctg9q56me23z0ykvzsf2zc6s04v9pyy8lrwxpkf00alnm8asxxes7la3e5,35.763494
addr1q9gj7sjuakh9cy23x92jgf5xu5pekanv0tnes52mdz3kfeuafu7gj07t99548z57vg8xlawkeqt647d9tph6kjmnc4vsgpgtn4,199.851692
addr1q8cvxyltkcl3pwryagj7rk540d34qa8zy7t5entc2t5mpl6eguyumlmhpl8l9wtr3gs8xcv8gjmfmsn6mgvulnfunc9qnp5tz2,0.000924
addr1q87rlx9wtgak2nmd38hth2zdah3v96l934vw602enpxlaa8hpyg2hkvmewu4zh6m4w548x4yz7hrzhras38p75l4kqgsglstpz,0.40349
addr1q90s2elnyxd4fmphwpkfm33mlnn9ll5p6kkrayq86sz6pjc0slrg0s324pr96tdypr3femzqt9flpqcy8t95lhfrsqgs3ks4mt,4.092473
addr1qxvasc5jdrgtj67rcgq8r8vnsmpy0mplhgen6g5fgc44pt7xavp59g7qtyl8fu30fspn8r2ggzhecrs32nhcu3t8cezsr37ruy,0.002001
addr1q9v7ukj5xgyszv78tscdqc9y4kht2kx0rtypxw8wlkdlwv49axx0zl7nz49y4yg5ch54l9c82ug8ysj8k8txc7cvweysed5l2m,2.534977
addr1q9ys2qpkf5qyq62ctyd7tew6w2w8lrsn26w04nxn3z9fkua9axx0zl7nz49y4yg5ch54l9c82ug8ysj8k8txc7cvweysvshmf8,0.927699
addr1q9s8kv8rgfct25magezr3drpp6800vcahmq33ufsp7wqz8jxdat9th7lscue8eeq4gvqsv4lxhvsakk52uez3fuue0tqnsspeg,88.257323
addr1z8nvjzjeydcn4atcd93aac8allvrpjn7pjr2qsweukpnayg4pn8uxr87tguqw8jkn6p233rk7k683ppl2mspr8appw9q640ms8,25830.017492
addr1q9rghu3khj30n3xjj3j6kzjkxd0fntfwjtjhv4s97kdv0c9rgsu0hmds6akclh8t32csxtmf3de9q3k6n6g4jfq0kgwsa3dwvm,8.000008
addr1q9mkqrx6sty2xjm8293clrt8vq2arrmzlkm2498758nl6xf5hsr0yqgx7xyxh6a7sje4un90hqql29q7x4x7ux88tzrqwwkcmu,0.005666
addr1qyqw68lafgkjwcp9n24ul77n3tp6j3f0wm37ejz634542cfgd9q0mw0ly907dtksfruqkmx2e5msmdrqcccgfaynl04qlwuq9m,2.345094
addr1q86lzpae0dcs0pvs5rp4lhtnmxtz9ppuft63feuq793ekyddxvcljeyv0gy5zkjwv3592xmzq04dfph65w8t2w2qz6msulsyvv,300.340057
addr1q8pvn2tfnv233xa8f5wlayfen7xl4wr8mwyryrjrh7led6z3md0gr2lx5m8tkqufyxu6xzr5hgf4kf43mfwg52gykz8qxp3fne,0.339392
addr1qx73yrgnetxrv9e7xu3nm3ep3flgsa5h5ds56ferfvqwqzvldewkt9fhvl924mgcfpyq536xusz6y7emszvahxesqmas3nfd2e,0.065177
addr1qy4egn9wxlml5e6mf9rhpuelxtvhl7d0fq28w4mengmzsr0uvs64y32jc6cqchnqhvjkwz506w0qglphk77ula0nlhzsertq48,10.218109
addr1qy4k2ytllgry5yn5uskn25rspfkpceuxwn22vm4jm5xc2lpatpfrxgfvptjvrk7l9umgy3tadc8utxmvjd3zq4vgmfasmz0mqg,1.0
addr1q8h874jdysvyn40j6vlxh3cqu0d4gwdu7frsw6459tpgz8ld84l9e2wpw7lh0defmlxmywadsnzw6zu7dklzc0v8mamqdevsq0,2.54063
addr1q8yrf73kaxqr9f2u76ru7qtk6slgmwgwhmyd0ghcmhn7xaxf2tlaqgnj4nl5mrlqfu454x4ugsn45aecup0w9mwepl7sxgy4w8,2.120189
addr1z8kkjw83qmz280rvqerqep7a7vgukxyfcxdh2xj0992frme8kq9dr3l47k6mfgvuugac48lc7p9zq25t6r4323hjux9qrzxrld,16290.809165
addr1qxv90tuttnpg3a7etvnsnl2zp6gyzqszysvwzrruqpzpxd77tr0n99eya7ju94z8g9q9sdctyta6rp4yj358e3plxc2qx6pz9q,102.929621
addr1q9ch8grquw0mdqe75a88gq70f8yfqy2k9p7gdtjnxvk489j80a5668v2hxvw58yydz9u6ae3gzms4t4fn5q0vv7rcvcsrr6hem,0.003399
addr1qx38l3y34nzdvwhtgwjve034v0e7v3sr9jxrkqawjgg2dm9cvtjm8enawhyjjkcf6eves2cwz4c8y9tvhjuzpvmu4rwspu6p6d,0.445783
addr1q9fjnqxj67hf5kct08u7ghvnct0ksvx4wn7xq48nu82y5yxy5m39775valyd78vxephreka609u4alhjvggknqtqvsuqvqe3ty,60.0
addr1q9esvnke63r0u4vaaf49cpyy7nzgwmv3u8t5gggf76q4wu80e943appsuq73udhqg0ewc8ummn9znv5ps2tzegt2wrmsa4thdg,41.930357
addr1q9z7e86a684pfgw0mfaafd3gc0jv8gz356k75dtk89783z70xn03xshy0vufj8hhfd7k8s7pp056h0ml6wzl6hlvd5ns98j27g,0.759836
addr1qxej8m2k3axjphce3j92ppf6pzywzver69uze2nh729lr33m237c3qzrqcghn4hqrp99p5jre07jc2r4575xu9chrmps59hl5a,0.009482
addr1q959sahqt6ehqsddmeqa8qhjkrw995mq2gxn3za4nlfyath5wseylvfmfecqvnr9phs72tthcpet5l23qe4dd5xv7p2q8s3de6,1e-06
addr1qy3v24xjkv3f2umwdk8qaq9dzlcv8tsxsz7956fqjwxmjaznnzhc9jdd4fjmygwh2mqn93q4psfwuaesavnuphk3rhkqw36sdk,251.38854
addr1z9cy2gmar6cpn8yymll93lnd7lw96f27kn2p3eq5d4tjr7rshnr04ple6jjfc0cvcmcpcxmsh576v7j2mjk8tw890vespzvgwd,3895.792765
addr1q8njl8nhf82k3nngu05zqq8h48qpf3jqkcnr2rrw6aukmge22dsrqwlnfqvf92gn823zf5quj3qq2qrn9k9xapkzf9rsn0ufuv,1.082162
addr1qx0exgwtgs39ze5wqzsv28l47su6q8mcgxuk3l4hrm07ljdhszp54j22kpuypd6juxxhds63anae324p82echzsl0y8qrdksa6,2e-06
addr1qy720q53tqdqv9j3wtu3zg3z4j74k8yt74g58lpnma4puhusna5uu996tq95ppn98r4kyqqtxz7gfvstl0nhdgx3tqrquq0xw3,0.031313
addr1qxp6jpm7l6xtn4yc2j7y7uedqlje2fzaf4q5klemj3z7d5uh57lhegnyjjn2hwhwp559gyuaajm7a93gn30n5vw9mr2sae3pk4,1.802913
