tx_hash,block_time,dex_address,direction,quantity
31e0fdcb41e073c9bbf4c5c76daa33aad79fb878dfb785b45d71f14697dbddc7,2024-01-01 00:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,sell,3336.42
15e13e8e17817b7549696f81e4059991db058a096fbcc9238edad73ec8d7511d,2024-01-02 03:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,buy,8826.73
e6838a70dd741cab57a688a7cec29978fc85e6da3f50b390f347461412f7d6c3,2024-01-03 06:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,sell,7346.57
c70619935ae67ca2674ebc902d61b78d7b5c2f175333288faa647fcb72accf4d,2024-01-04 09:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,sell,7738.83
6e9b539a77ade3072cb5f558f8b5cc6f4ebe94fb6705ef3616dfcb464c559568,2024-01-05 12:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,buy,7894.35
81551ffeb19f78da5da3e1084975e33bba4159d2b0edec0ebb3e0ddb55c60848,2024-01-06 15:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,sell,51834.56
0540ebeae3f5284bdc622f6f575c73a92cef5320bda8998e0db24881938dadc8,2024-01-07 18:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,sell,3143.03
bcdc00ffc17310aa5371c06827f808682758ff6ad2a363d0ba313b52bebcbe2a,2024-01-08 21:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,sell,2797.64
bd1f94555b75d0050a292c1b69600d17807584c5da8aecb815925fb20e963d76,2024-01-10 00:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,buy,2007.91
8c2591b7781b49297a248fe66a784480d12224f00bedfd261c06517f560d42b2,2024-01-11 03:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,buy,9677.68
4a56e17e344c3772c2018d2a699b8a6137c91f3d72e52f4db00107af34335aa1,2024-01-12 06:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,buy,17015.32
b039719b51c09f5cc469aef5a03970166c07b45782a2351e7105c556e3ec3ef6,2024-01-13 09:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,sell,4335.78
7972c35d80be98e87d9fbc7eb80120b3f84f1975c50d10449b8aa4c36cf11bf8,2024-01-14 12:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,sell,1950.47
825d764320385cc73412da428d1d86b78555fcc9fb5a097348c3a6bc7c9fb145,2024-01-15 15:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,sell,1984.4
53f54914fe13ad18802570725ef310e75de0a82043c1ad74f3713bb4e115ce33,2024-01-16 18:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,buy,10053.26
30dabbb85e2c534e046404cfd1bb4794711d028c29fb402d97a99476df124bdb,2024-01-17 21:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,buy,11132.01
3b86ff04fe552ec215ad257e6ab92eb809e6cda942a69d6e4cd0044feb4f97a0,2024-01-19 00:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,sell,8932.66
dfbce523ca7187954fe93d18cd585ca67d73f5a09d249e150bbaeac1995a726a,2024-01-20 03:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,buy,2363.6
126471c9fb39a70a70dcf02dad2e767e5e862f30cfc87154d8041da98889ff24,2024-01-21 06:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,sell,6344.71
a1f07dadec9d781a97efd82cebdf6f969fb721cb14fbab2bda53cc4c0dacd4ec,2024-01-22 09:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,sell,5587.88
0ee95bfd3f6cc094a2177172a275cc5825a6c99cd63c469751ef744b7879d605,2024-01-23 12:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,sell,6251.38
d197c826f82264f54c330c6bf03c787b4e5c9477fa5561c858fea01014cb2d15,2024-01-24 15:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,buy,12817.56
d4ec9d46efa3957cfbc8ceab3cf99e7d2064f070016515f09b89382907c55c92,2024-01-25 18:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,sell,6285.21
f08bd08af4993679bab4bece5d84584455752af4afb4e154e769858b5cc94a85,2024-01-26 21:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,sell,10371.38
4e0b8bd95f805c701fdbd848885e88059e041a5d17de87d32bde8902d7ca6ae5,2024-01-28 00:00:00+00:00,addr1zxn9efv2f6w82hagxqtn62ju4m293tqvw0uhmdl64ch8uw6j2c79gy9l76sdg0xwhd7r0c0kna0tycz4y5s6mlenh8pq6s3z70,sell,5294.04
